ONT-filename	ONT-sample_ID	ONT-path	ONT-filetype	ONT-library_ID	ONT-library_strategy	ONT-library_source	ONT-library_selection	ONT-library_layout	ONT-platform	ONT-instrument_model	ONT-design_description	ONT-data_type	ONT-shear_method	ONT-size_selection	ONT-seq_kit	ONT-basecaller	ONT-basecaller_version	ONT-basecaller_model	ONT-generator_facility	ONT-generator_contact	ONT-read_N50	ONT-coverage	ONT-100kb+	ONT-200kb+	ONT-300kb+	ONT-400kb+	ONT-500kb+	ONT-1Mb+	ONT-whales	HiFi-sample_ID	HiFi-filename	HiFi-library_ID	HiFi-library_strategy	HiFi-library_source	HiFi-library_selection	HiFi-library_layout	HiFi-platform	HiFi-instrument_model	HiFi-design_description	HiFi-data_type	HiFi-shear_method	HiFi-size_selection	HiFi-ccs_algorithm	HiFi-polymerase_version	HiFi-seq_plate_chemistry_version	HiFi-generator_facility	HiFi-generator_contact	HiFi-notes	HiFi-total_reads	HiFi-total_bp	HiFi-total_Gbp	HiFi-min	HiFi-max	HiFi-quartile_25	HiFi-quartile_50	HiFi-quartile_75	HiFi-N25	HiFi-N50	HiFi-N75	DEEPCONSENSUS-filename	DEEPCONSENSUS-sample_ID	DEEPCONSENSUS-library_ID	DEEPCONSENSUS-library_strategy	DEEPCONSENSUS-library_source	DEEPCONSENSUS-library_selection	DEEPCONSENSUS-library_layout	DEEPCONSENSUS-platform	DEEPCONSENSUS-instrument_model	DEEPCONSENSUS-design_description	DEEPCONSENSUS-data_type	DEEPCONSENSUS-shear_method	DEEPCONSENSUS-size_selection	DEEPCONSENSUS-DeepConsensus_version	DEEPCONSENSUS-polymerase_version	DEEPCONSENSUS-seq_plate_chemistry_version	DEEPCONSENSUS-generator_facility	DEEPCONSENSUS-generator_contact	DEEPCONSENSUS-total_reads	DEEPCONSENSUS-total_bp	DEEPCONSENSUS-total_Gbp	DEEPCONSENSUS-min	DEEPCONSENSUS-max	DEEPCONSENSUS-quartile_25	DEEPCONSENSUS-quartile_50	DEEPCONSENSUS-quartile_75	DEEPCONSENSUS-N25	DEEPCONSENSUS-N50	DEEPCONSENSUS-N75
"['08_17_21_R941_HG02451_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '08_17_21_R941_HG02451_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '08_17_21_R941_HG02451_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG02451	"['s3://human-pangenomics/working/HPRC/HG02451/raw_data/nanopore/guppy_6/08_17_21_R941_HG02451_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02451/raw_data/nanopore/guppy_6/08_17_21_R941_HG02451_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02451/raw_data/nanopore/guppy_6/08_17_21_R941_HG02451_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['08_17_21_R941_HG02451_1' '08_17_21_R941_HG02451_2'
 '08_17_21_R941_HG02451_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.4.6	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	81203.0	49.92999999999999	19.23	3.58	0.56	0.1	0.02	0.0	3.0																																																											
"['08_17_21_R941_HG02735_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '08_17_21_R941_HG02735_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '08_17_21_R941_HG02735_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '08_17_21_R941_HG02735_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG02735	"['s3://human-pangenomics/working/HPRC/HG02735/raw_data/nanopore/guppy_6/08_17_21_R941_HG02735_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02735/raw_data/nanopore/guppy_6/08_17_21_R941_HG02735_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02735/raw_data/nanopore/guppy_6/08_17_21_R941_HG02735_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02735/raw_data/nanopore/guppy_6/08_17_21_R941_HG02735_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['08_17_21_R941_HG02735_1' '08_17_21_R941_HG02735_2'
 '08_17_21_R941_HG02735_3' '08_17_21_R941_HG02735_4']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	79543.0	54.62	19.99	3.52	0.8	0.28	0.12	0.01	26.0																																																											
"['08_17_21_R941_HG02738_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '08_17_21_R941_HG02738_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '08_17_21_R941_HG02738_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG02738	"['s3://human-pangenomics/working/HPRC/HG02738/raw_data/nanopore/guppy_6/08_17_21_R941_HG02738_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02738/raw_data/nanopore/guppy_6/08_17_21_R941_HG02738_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02738/raw_data/nanopore/guppy_6/08_17_21_R941_HG02738_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['08_17_21_R941_HG02738_1' '08_17_21_R941_HG02738_2'
 '08_17_21_R941_HG02738_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	81923.66666666667	56.66	23.08	4.85	1.14	0.4	0.1699999999999999	0.01	27.0																																																											
"['08_17_21_R941_HG02809_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '08_17_21_R941_HG02809_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '08_17_21_R941_HG02809_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG02809	"['s3://human-pangenomics/working/HPRC/HG02809/raw_data/nanopore/guppy_6/08_17_21_R941_HG02809_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02809/raw_data/nanopore/guppy_6/08_17_21_R941_HG02809_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02809/raw_data/nanopore/guppy_6/08_17_21_R941_HG02809_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['08_17_21_R941_HG02809_1' '08_17_21_R941_HG02809_2'
 '08_17_21_R941_HG02809_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	91506.33333333331	62.86	28.34	5.640000000000001	0.96	0.25	0.09	0.0	10.0																																																											
"['08_17_21_R941_HG03704_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '08_17_21_R941_HG03704_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '08_17_21_R941_HG03704_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG03704	"['s3://human-pangenomics/working/HPRC/HG03704/raw_data/nanopore/guppy_6/08_17_21_R941_HG03704_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG03704/raw_data/nanopore/guppy_6/08_17_21_R941_HG03704_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG03704/raw_data/nanopore/guppy_6/08_17_21_R941_HG03704_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['08_17_21_R941_HG03704_1' '08_17_21_R941_HG03704_2'
 '08_17_21_R941_HG03704_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	82509.33333333333	69.72	27.02	3.96	0.47	0.09	0.03	0.0	4.0																																																											
"['08_25_21_R941_HG01981_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '08_25_21_R941_HG01981_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '08_25_21_R941_HG01981_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG01981	"['s3://human-pangenomics/working/HPRC/HG01981/raw_data/nanopore/guppy_6/08_25_21_R941_HG01981_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG01981/raw_data/nanopore/guppy_6/08_25_21_R941_HG01981_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG01981/raw_data/nanopore/guppy_6/08_25_21_R941_HG01981_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['08_25_21_R941_HG01981_1' '08_25_21_R941_HG01981_2'
 '08_25_21_R941_HG01981_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.4.6	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	66090.0	62.56999999999999	17.759999999999998	1.93	0.18	0.03	0.0	0.0	3.0																																																											
"['08_25_21_R941_HG02004_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '08_25_21_R941_HG02004_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '08_25_21_R941_HG02004_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG02004	"['s3://human-pangenomics/working/HPRC/HG02004/raw_data/nanopore/guppy_6/08_25_21_R941_HG02004_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02004/raw_data/nanopore/guppy_6/08_25_21_R941_HG02004_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02004/raw_data/nanopore/guppy_6/08_25_21_R941_HG02004_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['08_25_21_R941_HG02004_1' '08_25_21_R941_HG02004_2'
 '08_25_21_R941_HG02004_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.4.6	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	88383.0	84.43	37.02	7.65	0.94	0.16	0.05	0.0	7.0																																																											
"['08_25_21_R941_HG02683_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '08_25_21_R941_HG02683_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '08_25_21_R941_HG02683_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG02683	"['s3://human-pangenomics/working/HPRC/HG02683/raw_data/nanopore/guppy_6/08_25_21_R941_HG02683_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02683/raw_data/nanopore/guppy_6/08_25_21_R941_HG02683_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02683/raw_data/nanopore/guppy_6/08_25_21_R941_HG02683_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['08_25_21_R941_HG02683_1' '08_25_21_R941_HG02683_2'
 '08_25_21_R941_HG02683_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	96064.66666666669	47.61	22.79	5.32	0.91	0.21	0.07	0.0	8.0																																																											
"['08_25_21_R941_HG04184_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '08_25_21_R941_HG04184_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '08_25_21_R941_HG04184_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG04184	"['s3://human-pangenomics/working/HPRC/HG04184/raw_data/nanopore/guppy_6/08_25_21_R941_HG04184_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG04184/raw_data/nanopore/guppy_6/08_25_21_R941_HG04184_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG04184/raw_data/nanopore/guppy_6/08_25_21_R941_HG04184_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['08_25_21_R941_HG04184_1' '08_25_21_R941_HG04184_2'
 '08_25_21_R941_HG04184_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	92182.0	47.79	21.95	5.63	1.62	0.66	0.31	0.03	70.0																																																											
"['09_08_21_R941_HG01192_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '09_08_21_R941_HG01192_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '09_08_21_R941_HG01192_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG01192	"['s3://human-pangenomics/working/HPRC/HG01192/raw_data/nanopore/guppy_6/09_08_21_R941_HG01192_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG01192/raw_data/nanopore/guppy_6/09_08_21_R941_HG01192_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG01192/raw_data/nanopore/guppy_6/09_08_21_R941_HG01192_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['09_08_21_R941_HG01192_1' '09_08_21_R941_HG01192_2'
 '09_08_21_R941_HG01192_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	95510.33333333331	49.87	23.72	6.470000000000001	1.37	0.3	0.1	0.0	15.0																																																											
"['09_14_22_R941_GM19087_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '09_14_22_R941_GM19087_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '09_14_22_R941_GM19087_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	GM19087	"['s3://human-pangenomics/working/HPRC/NA19087/raw_data/nanopore/guppy_6/09_14_22_R941_GM19087_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/NA19087/raw_data/nanopore/guppy_6/09_14_22_R941_GM19087_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/NA19087/raw_data/nanopore/guppy_6/09_14_22_R941_GM19087_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['09_14_22_R941_GM19087_1' '09_14_22_R941_GM19087_2'
 '09_14_22_R941_GM19087_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	67108.0	72.01	22.34	4.35	0.92	0.25	0.09	0.0	5.0																																																											
"['09_14_22_R941_GM20752_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '09_14_22_R941_GM20752_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '09_14_22_R941_GM20752_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	GM20752	"['s3://human-pangenomics/working/HPRC/NA20752/raw_data/nanopore/guppy_6/09_14_22_R941_GM20752_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/NA20752/raw_data/nanopore/guppy_6/09_14_22_R941_GM20752_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/NA20752/raw_data/nanopore/guppy_6/09_14_22_R941_GM20752_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['09_14_22_R941_GM20752_1' '09_14_22_R941_GM20752_2'
 '09_14_22_R941_GM20752_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	77757.0	78.93	29.85	7.25	1.51	0.31	0.09	0.0	3.0																																																											
"['09_14_22_R941_HG00099_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '09_14_22_R941_HG00099_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '09_14_22_R941_HG00099_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG00099	"['s3://human-pangenomics/working/HPRC/HG00099/raw_data/nanopore/guppy_6/09_14_22_R941_HG00099_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG00099/raw_data/nanopore/guppy_6/09_14_22_R941_HG00099_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG00099/raw_data/nanopore/guppy_6/09_14_22_R941_HG00099_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['09_14_22_R941_HG00099_1' '09_14_22_R941_HG00099_2'
 '09_14_22_R941_HG00099_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	72132.33333333333	58.78	20.75	5.41	1.42	0.37	0.1	0.0	5.0																																																											
"['09_14_22_R941_HG00280_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '09_14_22_R941_HG00280_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '09_14_22_R941_HG00280_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG00280	"['s3://human-pangenomics/working/HPRC/HG00280/raw_data/nanopore/guppy_6/09_14_22_R941_HG00280_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG00280/raw_data/nanopore/guppy_6/09_14_22_R941_HG00280_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG00280/raw_data/nanopore/guppy_6/09_14_22_R941_HG00280_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['09_14_22_R941_HG00280_1' '09_14_22_R941_HG00280_2'
 '09_14_22_R941_HG00280_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	69504.33333333333	59.84	20.4	5.2	1.23	0.32	0.11	0.01	26.0																																																											
"['09_14_22_R941_HG01530_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '09_14_22_R941_HG01530_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '09_14_22_R941_HG01530_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG01530	"['s3://human-pangenomics/working/HPRC/HG01530/raw_data/nanopore/guppy_6/09_14_22_R941_HG01530_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG01530/raw_data/nanopore/guppy_6/09_14_22_R941_HG01530_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG01530/raw_data/nanopore/guppy_6/09_14_22_R941_HG01530_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['09_14_22_R941_HG01530_1' '09_14_22_R941_HG01530_2'
 '09_14_22_R941_HG01530_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	76638.66666666667	54.09	20.59	6.04	1.8	0.53	0.16	0.0	7.0																																																											
"['09_14_22_R941_HG01784_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '09_14_22_R941_HG01784_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '09_14_22_R941_HG01784_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG01784	"['s3://human-pangenomics/working/HPRC/HG01784/raw_data/nanopore/guppy_6/09_14_22_R941_HG01784_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG01784/raw_data/nanopore/guppy_6/09_14_22_R941_HG01784_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG01784/raw_data/nanopore/guppy_6/09_14_22_R941_HG01784_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['09_14_22_R941_HG01784_1' '09_14_22_R941_HG01784_2'
 '09_14_22_R941_HG01784_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	73145.0	70.97	25.1	5.98	1.41	0.39	0.12	0.0	5.0																																																											
"['09_27_2022_R941_GM19043_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '09_27_2022_R941_GM19043_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '09_27_2022_R941_GM19043_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '09_27_2022_R941_GM19043_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	GM19043	"['s3://human-pangenomics/working/HPRC/NA19043/raw_data/nanopore/guppy_6/09_27_2022_R941_GM19043_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/NA19043/raw_data/nanopore/guppy_6/09_27_2022_R941_GM19043_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/NA19043/raw_data/nanopore/guppy_6/09_27_2022_R941_GM19043_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/NA19043/raw_data/nanopore/guppy_6/09_27_2022_R941_GM19043_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['09_27_2022_R941_GM19043_1' '09_27_2022_R941_GM19043_2'
 '09_27_2022_R941_GM19043_3' '09_27_2022_R941_GM19043_4']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	74545.75	62.45	21.82	4.51	0.8	0.16	0.04	0.0	5.0																																																											
