filename	sample_ID	path	filetype	library_ID	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	data_type	shear_method	size_selection	seq_kit	basecaller	basecaller_version	basecaller_model	generator_facility	generator_contact	read_N50	coverage	100kb+	200kb+	300kb+	400kb+	500kb+	1Mb+	whales
"['05_24_22_R941_HG03458_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '05_24_22_R941_HG03458_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '05_24_22_R941_HG03458_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG03458	"['s3://human-pangenomics/working/HPRC/HG03458/raw_data/nanopore/guppy_6/05_24_22_R941_HG03458_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG03458/raw_data/nanopore/guppy_6/05_24_22_R941_HG03458_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG03458/raw_data/nanopore/guppy_6/05_24_22_R941_HG03458_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	[nan nan nan]	"['05_24_22_R941_HG03458_1' '05_24_22_R941_HG03458_2'
 '05_24_22_R941_HG03458_3']"	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	82253.0	68.27	27.82	7.42	1.58	0.3	0.05	0.0	0
"['05_24_22_R941_HG03470_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '05_24_22_R941_HG03470_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '05_24_22_R941_HG03470_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG03470	"['s3://human-pangenomics/working/HPRC/HG03470/raw_data/nanopore/guppy_6/05_24_22_R941_HG03470_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG03470/raw_data/nanopore/guppy_6/05_24_22_R941_HG03470_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG03470/raw_data/nanopore/guppy_6/05_24_22_R941_HG03470_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	[nan nan nan]	"['05_24_22_R941_HG03470_1' '05_24_22_R941_HG03470_2'
 '05_24_22_R941_HG03470_3']"	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	[nan nan nan]	91478.33333333331	66.94	30.65	9.1	2.17	0.52	0.1699999999999999	0.0	17
"['06_22_21_R941_HG00738_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_13_21_R941_HG00738_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_13_21_R941_HG00738_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG00738	"['s3://human-pangenomics/working/HPRC/HG00738/raw_data/nanopore/guppy_6/06_22_21_R941_HG00738_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG00738/raw_data/nanopore/guppy_6/07_13_21_R941_HG00738_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG00738/raw_data/nanopore/guppy_6/07_13_21_R941_HG00738_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['06_22_21_R941_HG00738_1' '07_13_21_R941_HG00738_2'
 '07_13_21_R941_HG00738_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.4.6	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	75632.0	78.37	26.7	4.68	1.01	0.2799999999999999	0.0999999999999999	0.0	15
"['06_22_21_R941_HG02135_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_13_21_R941_HG02135_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_13_21_R941_HG02135_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG02135	"['s3://human-pangenomics/working/HPRC/HG02135/raw_data/nanopore/guppy_6/06_22_21_R941_HG02135_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02135/raw_data/nanopore/guppy_6/07_13_21_R941_HG02135_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02135/raw_data/nanopore/guppy_6/07_13_21_R941_HG02135_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['06_22_21_R941_HG02135_1' '07_13_21_R941_HG02135_2'
 '07_13_21_R941_HG02135_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.4.6	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	73195.33333333333	76.11	25.32	3.55	0.48	0.12	0.04	0.0	9
"['06_28_22_R941_GM18612_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '06_28_22_R941_GM18612_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '06_28_22_R941_GM18612_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	GM18612	"['s3://human-pangenomics/working/HPRC/NA18612/raw_data/nanopore/guppy_6/06_28_22_R941_GM18612_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/NA18612/raw_data/nanopore/guppy_6/06_28_22_R941_GM18612_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/NA18612/raw_data/nanopore/guppy_6/06_28_22_R941_GM18612_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['06_28_22_R941_GM18612_1' '06_28_22_R941_GM18612_2'
 '06_28_22_R941_GM18612_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	85807.66666666667	72.34	30.35	6.63	1.12	0.25	0.09	0.0	7
"['06_28_22_R941_GM18747_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '06_28_22_R941_GM18747_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '06_28_22_R941_GM18747_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	GM18747	"['s3://human-pangenomics/working/HPRC/NA18747/raw_data/nanopore/guppy_6/06_28_22_R941_GM18747_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/NA18747/raw_data/nanopore/guppy_6/06_28_22_R941_GM18747_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/NA18747/raw_data/nanopore/guppy_6/06_28_22_R941_GM18747_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['06_28_22_R941_GM18747_1' '06_28_22_R941_GM18747_2'
 '06_28_22_R941_GM18747_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	83953.0	75.12	31.12	7.57	1.31	0.19	0.03	0.0	2
"['06_28_22_R941_GM18971_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '06_28_22_R941_GM18971_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '06_28_22_R941_GM18971_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	GM18971	"['s3://human-pangenomics/working/HPRC/NA18971/raw_data/nanopore/guppy_6/06_28_22_R941_GM18971_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/NA18971/raw_data/nanopore/guppy_6/06_28_22_R941_GM18971_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/NA18971/raw_data/nanopore/guppy_6/06_28_22_R941_GM18971_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['06_28_22_R941_GM18971_1' '06_28_22_R941_GM18971_2'
 '06_28_22_R941_GM18971_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	78418.66666666667	79.88	29.98	5.95	1.15	0.34	0.13	0.0	24
"['06_28_22_R941_GM18983_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '06_28_22_R941_GM18983_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '06_28_22_R941_GM18983_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	GM18983	"['s3://human-pangenomics/working/HPRC/NA18983/raw_data/nanopore/guppy_6/06_28_22_R941_GM18983_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/NA18983/raw_data/nanopore/guppy_6/06_28_22_R941_GM18983_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/NA18983/raw_data/nanopore/guppy_6/06_28_22_R941_GM18983_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['06_28_22_R941_GM18983_1' '06_28_22_R941_GM18983_2'
 '06_28_22_R941_GM18983_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	80021.66666666667	68.1	26.4	5.55	0.77	0.11	0.03	0.0	5
"['06_28_22_R941_HG00140_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '06_28_22_R941_HG00140_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '06_28_22_R941_HG00140_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG00140	"['s3://human-pangenomics/working/HPRC/HG00140/raw_data/nanopore/guppy_6/06_28_22_R941_HG00140_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG00140/raw_data/nanopore/guppy_6/06_28_22_R941_HG00140_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG00140/raw_data/nanopore/guppy_6/06_28_22_R941_HG00140_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['06_28_22_R941_HG00140_1' '06_28_22_R941_HG00140_2'
 '06_28_22_R941_HG00140_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	84122.0	72.87	29.76	5.62	0.6599999999999999	0.12	0.03	0.0	6
"['06_28_22_R941_HG00323_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '06_28_22_R941_HG00323_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '06_28_22_R941_HG00323_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG00323	"['s3://human-pangenomics/working/HPRC/HG00323/raw_data/nanopore/guppy_6/06_28_22_R941_HG00323_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG00323/raw_data/nanopore/guppy_6/06_28_22_R941_HG00323_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG00323/raw_data/nanopore/guppy_6/06_28_22_R941_HG00323_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['06_28_22_R941_HG00323_1' '06_28_22_R941_HG00323_2'
 '06_28_22_R941_HG00323_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	77432.33333333333	60.85	22.39	5.42	1.6	0.5700000000000001	0.21	0.0	24
"['06_28_22_R941_HG02040_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '06_28_22_R941_HG02040_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '06_28_22_R941_HG02040_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG02040	"['s3://human-pangenomics/working/HPRC/HG02040/raw_data/nanopore/guppy_6/06_28_22_R941_HG02040_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02040/raw_data/nanopore/guppy_6/06_28_22_R941_HG02040_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02040/raw_data/nanopore/guppy_6/06_28_22_R941_HG02040_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['06_28_22_R941_HG02040_1' '06_28_22_R941_HG02040_2'
 '06_28_22_R941_HG02040_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	83973.0	82.66	34.24	8.120000000000001	1.4	0.21	0.04	0.0	0
"['06_28_22_R941_HG02155_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '06_28_22_R941_HG02155_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '06_28_22_R941_HG02155_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG02155	"['s3://human-pangenomics/working/HPRC/HG02155/raw_data/nanopore/guppy_6/06_28_22_R941_HG02155_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02155/raw_data/nanopore/guppy_6/06_28_22_R941_HG02155_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02155/raw_data/nanopore/guppy_6/06_28_22_R941_HG02155_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['06_28_22_R941_HG02155_1' '06_28_22_R941_HG02155_2'
 '06_28_22_R941_HG02155_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	83404.66666666667	75.67	30.86	7.0	1.22	0.29	0.11	0.0	14
"['06_28_22_R941_HG02165_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '06_28_22_R941_HG02165_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '06_28_22_R941_HG02165_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG02165	"['s3://human-pangenomics/working/HPRC/HG02165/raw_data/nanopore/guppy_6/06_28_22_R941_HG02165_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02165/raw_data/nanopore/guppy_6/06_28_22_R941_HG02165_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02165/raw_data/nanopore/guppy_6/06_28_22_R941_HG02165_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['06_28_22_R941_HG02165_1' '06_28_22_R941_HG02165_2'
 '06_28_22_R941_HG02165_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	90944.0	66.84	30.19	7.93	1.54	0.28	0.06	0.0	5
"['06_28_22_R941_HG02922_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '06_28_22_R941_HG02922_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '06_28_22_R941_HG02922_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG02922	"['s3://human-pangenomics/working/HPRC/HG02922/raw_data/nanopore/guppy_6/06_28_22_R941_HG02922_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02922/raw_data/nanopore/guppy_6/06_28_22_R941_HG02922_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02922/raw_data/nanopore/guppy_6/06_28_22_R941_HG02922_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['06_28_22_R941_HG02922_1' '06_28_22_R941_HG02922_2'
 '06_28_22_R941_HG02922_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	81217.66666666667	87.37	35.21	8.81	1.66	0.27	0.05	0.0	2
"['07_13_21_R941_HG00544_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_13_21_R941_HG00544_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_13_21_R941_HG00544_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG00544	"['s3://human-pangenomics/working/HPRC/HG00544/raw_data/nanopore/guppy_6/07_13_21_R941_HG00544_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG00544/raw_data/nanopore/guppy_6/07_13_21_R941_HG00544_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG00544/raw_data/nanopore/guppy_6/07_13_21_R941_HG00544_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['07_13_21_R941_HG00544_1' '07_13_21_R941_HG00544_2'
 '07_13_21_R941_HG00544_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.4.6	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	63759.0	68.47	16.23	1.37	0.2	0.04	0.02	0.0	4
"['07_13_21_R941_HG00706_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_13_21_R941_HG00706_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_13_21_R941_HG00706_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG00706	"['s3://human-pangenomics/working/HPRC/HG00706/raw_data/nanopore/guppy_6/07_13_21_R941_HG00706_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG00706/raw_data/nanopore/guppy_6/07_13_21_R941_HG00706_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG00706/raw_data/nanopore/guppy_6/07_13_21_R941_HG00706_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['07_13_21_R941_HG00706_1' '07_13_21_R941_HG00706_2'
 '07_13_21_R941_HG00706_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.4.6	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	72306.33333333333	72.21000000000001	22.83	3.02	0.47	0.1	0.03	0.0	5
"['07_13_21_R941_HG01255_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_13_21_R941_HG01255_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_13_21_R941_HG01255_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG01255	"['s3://human-pangenomics/working/HPRC/HG01255/raw_data/nanopore/guppy_6/07_13_21_R941_HG01255_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG01255/raw_data/nanopore/guppy_6/07_13_21_R941_HG01255_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG01255/raw_data/nanopore/guppy_6/07_13_21_R941_HG01255_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['07_13_21_R941_HG01255_1' '07_13_21_R941_HG01255_2'
 '07_13_21_R941_HG01255_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.4.6	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	76328.0	77.65	26.51	2.71	0.25	0.04	0.0	0.0	3
"['07_13_21_R941_HG02071_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_13_21_R941_HG02071_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_13_21_R941_HG02071_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG02071	"['s3://human-pangenomics/working/HPRC/HG02071/raw_data/nanopore/guppy_6/07_13_21_R941_HG02071_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02071/raw_data/nanopore/guppy_6/07_13_21_R941_HG02071_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02071/raw_data/nanopore/guppy_6/07_13_21_R941_HG02071_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['07_13_21_R941_HG02071_1' '07_13_21_R941_HG02071_2'
 '07_13_21_R941_HG02071_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.4.6	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	67712.0	78.8	20.82	1.12	0.1	0.01	0.0	0.0	0
"['07_13_21_R941_HG02074_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_13_21_R941_HG02074_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 '07_13_21_R941_HG02074_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	HG02074	"['s3://human-pangenomics/working/HPRC/HG02074/raw_data/nanopore/guppy_6/07_13_21_R941_HG02074_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02074/raw_data/nanopore/guppy_6/07_13_21_R941_HG02074_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam'
 's3://human-pangenomics/working/HPRC/HG02074/raw_data/nanopore/guppy_6/07_13_21_R941_HG02074_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam']"	bam	"['07_13_21_R941_HG02074_1' '07_13_21_R941_HG02074_2'
 '07_13_21_R941_HG02074_3']"	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.4.6	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu	62626.0	78.85	18.66	1.09	0.1	0.01	0.0	0.0	0
