accession	study	bioproject_accession	biosample_accession	library_id	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	shear_method	size_selection	basecaller	basecaller_version	polymerase_version	seq_plate_chemistry_version	generator_facility	generator_contact	__index__filename	total_reads	total_bp	total_gbp	min	max	mean	quartile_25	quartile_50	quartile_75	n25	n50	n75	sample_id	path	production	data_type	notes	coverage	ntsm_score	index_sheet	assembly	deepconsensus_coverage	deepconsensus_filename	deepconsensus_path	ccs_algorithm	mm_tag	primrose_filename	mm_review	mm_remove	lima_version	lima_float_version	cell_type	iso_filename	platform_unit_1	platform_unit_2	barcode	iso_library_id	pbtrim_version	jasmine_version	refine_version	pool	similarity	check-flnc reads	seq_kit	basecaller_model	coverage_over_100kb	coverage_over_200kb	coverage_over_300kb	coverage_over_400kb	coverage_over_500kb	coverage_over_1mb	whales	sequencing_chemistry	library_construction_protocol	read_length	family_id	paternal_id	maternal_id	gender	phenotype	relationship	siblings	second_order	third_order	other_comments	phasing	in_working	manifest_aws_file_size	manifest_download_size	manifest_checksum	manifest_s3_source	manifest_gs_path	slurm_job_id	slurm_task_id	sample_ID	collection
SRR34949562																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG00350/raw_data/hic/HG00350-1_FC4_S31_L002_R2_001.fastq.gz																																																																											HG00350	HIC_Y3_Y4_part2_data_table__final.csv
SRR34949649																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/NA19835/raw_data/hic/NA19835-2_FC2_S2_L001_R1_001.fastq.gz																																																																											NA19835	HIC_Y3_Y4_part2_data_table__final.csv
SRR34949442																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG00235/raw_data/hic/HG00235-2_FC4_S36_L002_R2_001.fastq.gz																																																																											HG00235	HIC_Y3_Y4_part2_data_table__final.csv
SRR33469148																						12_09_24_R1041_UL_HPRC_HG00642_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam																																																																											HG00642	UCSC_HPRC_nanopore_Year2_R10_data_table__final.csv
SRR26313817																						08_10_21_R941_HG04199_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																												UCSC_HPRC_nanopore_Year2_data_table__final.csv
SRR33469134																						11_12_24_R1041_UL_HPRC_HG04115_2_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam																																																																											HG04115	UCSC_HPRC_nanopore_Year2_R10_data_table__final.csv
SRR33469154																						11_12_24_R1041_UL_HPRC_HG02004_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam																																																																											HG02004	UCSC_HPRC_nanopore_Year2_R10_data_table__final.csv
SRR31366942																						HG02717_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																											HG02717	UCSC_HPRC_ONT_Y1_WTOPUP_GUPPY6_data_table__final.csv
SRR26313818																						07_27_21_R941_HG04115_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																												UCSC_HPRC_nanopore_Year2_data_table__final.csv
																						HG00689-1_FC2_S45_L004_R1_001.fastq.gz																																																																												HPRC-OmniC-100124Pools_data_table__final.csv
SRR29497474																						10_10_23_R1041_HPRC_HG03103_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam																																																																											HG03103	UCSC_HPRC_nanopore_Year4_data_table__final.csv
SRR31366943																						HG02717_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																											HG02717	UCSC_HPRC_ONT_Y1_WTOPUP_GUPPY6_data_table__final.csv
SRR29497490																						10_10_23_R1041_HPRC_HG03103_2_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam																																																																											HG03103	UCSC_HPRC_nanopore_Year4_data_table__final.csv
SRR34949372																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG01934/raw_data/hic/HG01934-2_FC2_S64_L004_R2_001.fastq.gz																																																																											HG01934	HIC_Y3_Y4_part2_data_table__final.csv
																						HG03492_PAK40676_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_sequencing_summary.txt.gz																																																																					141180296	04575be54d99986f50ec10f8ca24990b						manifest
SRR34949487																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/NA20806/raw_data/hic/NA20806-2_FC1_S44_L002_R2_001.fastq.gz																																																																											NA20806	HIC_Y3_Y4_part2_data_table__final.csv
SRR34949418																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/NA18879/raw_data/hic/NA18879-2_FC4_S15_L001_R2_001.fastq.gz																																																																											NA18879	HIC_Y3_Y4_part2_data_table__final.csv
SRR34949401																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG00253/raw_data/hic/HG00253-2_FC4_S34_L002_R2_001.fastq.gz																																																																											HG00253	HIC_Y3_Y4_part2_data_table__final.csv
SRR31367030																						HG02572_5_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																											HG02572	UCSC_HPRC_ONT_Y1_WTOPUP_GUPPY6_data_table__final.csv
																						NA18511-2_FC2_S42_L004_R1_001.fastq.gz																																																																												HPRC-OmniC-100124Pools_data_table__final.csv
SRR26313825																						08_10_21_R941_HG03927_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																												UCSC_HPRC_nanopore_Year2_data_table__final.csv
SRR29497545																						10_10_23_R1041_HPRC_HG00701_6_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam																																																																											HG00701	UCSC_HPRC_nanopore_Year4_data_table__final.csv
SRR29497467																						09_12_23_R1041_HPRC_HG03457_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam																																																																											HG03457	UCSC_HPRC_nanopore_Year4_data_table__final.csv
SRR29396834																						m84081_230511_180835_s3.hifi_reads.bc2002.bam																																																																											NA20858	WUSTL_HPRC_HiFi_Year4_data_table__final.csv
SRR34949444																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG03521/raw_data/hic/HG03521-2_FC2_S26_L002_R2_001.fastq.gz																																																																											HG03521	HIC_Y3_Y4_part2_data_table__final.csv
SRR34949511																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG04153/raw_data/hic/HG04153-2_FC2_S22_L001_R2_001.fastq.gz																																																																											HG04153	HIC_Y3_Y4_part2_data_table__final.csv
SRR34949641																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/NA19909/raw_data/hic/NA19909-2_FC2_S56_L003_R2_001.fastq.gz																																																																											NA19909	HIC_Y3_Y4_part2_data_table__final.csv
SRR29497283																						09_12_23_R1041_HPRC_HG03778_2_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam																																																																											HG03778	UCSC_HPRC_nanopore_Year4_data_table__final.csv
SRR34949570																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/NA20762/raw_data/hic/NA20762-1_FC3_S27_L002_R2_001.fastq.gz																																																																											NA20762	HIC_Y3_Y4_part2_data_table__final.csv
SRR34949527																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG03458/raw_data/hic/HG03458-1_FC3_S52_L003_R1_001.fastq.gz																																																																											HG03458	HIC_Y3_Y4_part2_data_table__final.csv
SRR29497504																						08_08_23_R1041_HPRC_HG03343_2_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam																																																																											HG03343	UCSC_HPRC_nanopore_Year4_data_table__final.csv
SRR26313821																						08_17_21_R941_HG02280_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																												UCSC_HPRC_nanopore_Year2_data_table__final.csv
SRR33469177																						11_12_24_R1041_UL_HPRC_HG04228_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam																																																																											HG04228	UCSC_HPRC_nanopore_Year2_R10_data_table__final.csv
SRR29483063																						m84046_230906_215022_s3.hifi_reads.bc2037.bam																																																																											NA19012	UW_HPRC_HiFi_Y4_AND_Y3_Topoff_data_table__final.csv
SRR31367055																						HG00735_5_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																											HG00735	UCSC_HPRC_ONT_Y1_WTOPUP_GUPPY6_data_table__final.csv
SRR34949508																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/NA18565/raw_data/hic/NA18565-1_FC1_S9_L001_R1_001.fastq.gz																																																																											NA18565	HIC_Y3_Y4_part2_data_table__final.csv
SRR34949407																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/NA19682/raw_data/hic/NA19682-1_FC2_S55_L003_R1_001.fastq.gz																																																																											NA19682	HIC_Y3_Y4_part2_data_table__final.csv
SRR31367063																						HG00621_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																											HG00621	UCSC_HPRC_ONT_Y1_WTOPUP_GUPPY6_data_table__final.csv
SRR33469137																						11_12_24_R1041_UL_HPRC_HG03942_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam																																																																											HG03942	UCSC_HPRC_nanopore_Year2_R10_data_table__final.csv
SRR26313833																						08_17_21_R941_HG01346_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																												UCSC_HPRC_nanopore_Year2_data_table__final.csv
SRR31366978																						03_14_23_R941_HG02622_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																											HG02622	UCSC_HPRC_ONT_Y1_WTOPUP_GUPPY6_data_table__final.csv
SRR34949463																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG01261/raw_data/hic/HG01261-2_FC1_S81_L004_R1_001.fastq.gz																																																																											HG01261	HIC_Y3_Y4_part2_data_table__final.csv
SRR34949433																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG03654/raw_data/hic/HG03654-2_FC4_S68_L004_R2_001.fastq.gz																																																																											HG03654	HIC_Y3_Y4_part2_data_table__final.csv
SRR29396898																						m84081_231209_034516_s4.hifi_reads.bc2002.bam																																																																											HG01798	WUSTL_HPRC_HiFi_Year4_data_table__final.csv
																						NA19834-1_FC2_S3_L001_R2_001.fastq.gz																																																																												HPRC-OmniC-100124Pools_data_table__final.csv
SRR34949367																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG02027/raw_data/hic/HG02027-1_FC3_S73_L004_R1_001.fastq.gz																																																																											HG02027	HIC_Y3_Y4_part2_data_table__final.csv
SRR26545315																						NA18612.m64043_220708_205637.dc.q20.fastq.gz																																																																											NA18612	HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20_data_table__final.csv
SRR33469081																						11_12_24_R1041_UL_HPRC_HG02683_3_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam																																																																											HG02683	UCSC_HPRC_nanopore_Year2_R10_data_table__final.csv
SRR31366949																						HG01358_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																											HG01358	UCSC_HPRC_ONT_Y1_WTOPUP_GUPPY6_data_table__final.csv
SRR34949607																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG02083/raw_data/hic/HG02083-2_FC2_S77_L004_R1_001.fastq.gz																																																																											HG02083	HIC_Y3_Y4_part2_data_table__final.csv
SRR34949638																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/NA21144/raw_data/hic/NA21144-1_FC2_S45_L002_R2_001.fastq.gz																																																																											NA21144	HIC_Y3_Y4_part2_data_table__final.csv
SRR26313843																						08_25_21_R941_HG02004_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																												UCSC_HPRC_nanopore_Year2_data_table__final.csv
SRR29497422																						08_08_23_R1041_HPRC_NA19099_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam																																																																											NA19099	UCSC_HPRC_nanopore_Year4_data_table__final.csv
																						HG03458-1_FC3_S52_L003_R1_001.fastq.gz																																																																												HIC_Y3_Y4_part2_data_table__final.csv
SRR34949366																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG02027/raw_data/hic/HG02027-1_FC4_S73_L004_R2_001.fastq.gz																																																																											HG02027	HIC_Y3_Y4_part2_data_table__final.csv
SRR31367032																						HG02572_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																											HG02572	UCSC_HPRC_ONT_Y1_WTOPUP_GUPPY6_data_table__final.csv
SRR34949557																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG01167/raw_data/hic/HG01167-1_FC1_S12_L001_R1_001.fastq.gz																																																																											HG01167	HIC_Y3_Y4_part2_data_table__final.csv
SRR33469167																						12_02_24_R1041_UL_HPRC_HG01934_2_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam																																																																											HG01934	UCSC_HPRC_nanopore_Year2_R10_data_table__final.csv
SRR31367250																						1_11_23_R941_HG01175_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																											HG01175	UCSC_HPRC_ONT_Y1_WTOPUP_GUPPY6_data_table__final.csv
SRR31366929																						HG03453_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																											HG03453	UCSC_HPRC_ONT_Y1_WTOPUP_GUPPY6_data_table__final.csv
SRR34899873																						HG03108-1_FC1_S27_L003_R1_001.fastq.gz																																																																											HG03108	HPRC-OmniC-100124Pools_data_table__final.csv
SRR26313848																						08_17_21_R941_HG01943_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																												UCSC_HPRC_nanopore_Year2_data_table__final.csv
SRR23732284																						m64043_220712_145025-bc1015.5mc.hifi_reads.bam																																																																											NA18612	WUSTL_HPRC_HiFi_Year3_data_table__final.csv
																						NA19099-2_FC2_S2_L001_R2_001.fastq.gz																																																																												HPRC-OmniC-100124Pools_data_table__final.csv
SRR31367056																						HG00735_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																											HG00735	UCSC_HPRC_ONT_Y1_WTOPUP_GUPPY6_data_table__final.csv
SRR34949618																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG00344/raw_data/hic/HG00344-2_FC1_S30_L002_R1_001.fastq.gz																																																																											HG00344	HIC_Y3_Y4_part2_data_table__final.csv
SRR34949586																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/NA20282/raw_data/hic/NA20282-2_FC1_S61_L003_R2_001.fastq.gz																																																																											NA20282	HIC_Y3_Y4_part2_data_table__final.csv
SRR34949653																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/NA19835/raw_data/hic/NA19835-1_FC2_S1_L001_R1_001.fastq.gz																																																																											NA19835	HIC_Y3_Y4_part2_data_table__final.csv
																						HG02624-2_FC1_S26_L003_R2_001.fastq.gz																																																																												HPRC-OmniC-100124Pools_data_table__final.csv
SRR33469150																						12_02_24_R1041_UL_HPRC_HG02132_2_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam																																																																											HG02132	UCSC_HPRC_nanopore_Year2_R10_data_table__final.csv
SRR29497567																						10_10_23_R1041_HPRC_NA21101_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam																																																																											NA21101	UCSC_HPRC_nanopore_Year4_data_table__final.csv
SRR33469112																						12_02_24_R1041_UL_HPRC_HG02647_2_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam																																																																											HG02647	UCSC_HPRC_nanopore_Year2_R10_data_table__final.csv
SRR31366966																						04_11_23_R941_HG00735_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																											HG00735	UCSC_HPRC_ONT_Y1_WTOPUP_GUPPY6_data_table__final.csv
SRR29497421																						11_7_23_R1041_HPRC_NA19390_2_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam																																																																											NA19390	UCSC_HPRC_nanopore_Year4_data_table__final.csv
SRR29405835																						m84091_230731_130312_s1.hifi_reads.bc1010.bam																																																																											HG01626	RU_Y4_data_table__final.csv
SRR34949606																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG00235/raw_data/hic/HG00235-1_FC4_S35_L002_R1_001.fastq.gz																																																																											HG00235	HIC_Y3_Y4_part2_data_table__final.csv
SRR34949624																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG00329/raw_data/hic/HG00329-2_FC4_S40_L002_R2_001.fastq.gz																																																																											HG00329	HIC_Y3_Y4_part2_data_table__final.csv
SRR34949680																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG03704/raw_data/hic/HG03704-2_FC3_S72_L004_R2_001.fastq.gz																																																																											HG03704	HIC_Y3_Y4_part2_data_table__final.csv
																						HG03492_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																					7822953206	630f533ca04c701dae770198a0b50aef						manifest
SRR34949431																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG00253/raw_data/hic/HG00253-1_FC1_S33_L002_R2_001.fastq.gz																																																																											HG00253	HIC_Y3_Y4_part2_data_table__final.csv
SRR34949578																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/NA20346/raw_data/hic/NA20346-1_FC4_S59_L003_R1_001.fastq.gz																																																																											NA20346	HIC_Y3_Y4_part2_data_table__final.csv
																						HG01894-1_FC1_S5_L001_R2_001.fastq.gz																																																																												HPRC-OmniC-100124Pools_data_table__final.csv
SRR29497331																						01_16_24_R1041_HPRC_HG03919_3_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam																																																																											HG03919	UCSC_HPRC_nanopore_Year4_data_table__final.csv
SRR34949447																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG03521/raw_data/hic/HG03521-1_FC3_S25_L002_R2_001.fastq.gz																																																																											HG03521	HIC_Y3_Y4_part2_data_table__final.csv
SRR26313846																						06_22_21_R941_HG02135_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																												UCSC_HPRC_nanopore_Year2_data_table__final.csv
																						HG03890-1_FC2_S43_L004_R2_001.fastq.gz																																																																												HPRC-OmniC-100124Pools_data_table__final.csv
SRR25618923																						HG02683.m64076_210703_103644.dc.q20.fastq.gz																																																																											HG02683	HPRC_DEEPCONSENSUS_v1pt2_data_table__final.csv
SRR31367163																						12_7_22_R941_HG01891_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																											HG01891	UCSC_HPRC_ONT_Y1_WTOPUP_GUPPY6_data_table__final.csv
SRR29405770																						m84091_231110_171321_s4.hifi_reads.bc1009.bam																																																																											NA19703	RU_Y4_data_table__final.csv
SRR34949625																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG00329/raw_data/hic/HG00329-2_FC3_S40_L002_R1_001.fastq.gz																																																																											HG00329	HIC_Y3_Y4_part2_data_table__final.csv
SRR29497622																						10_17_23_R1041_HPRC_NA19042_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam																																																																											NA19042	UCSC_HPRC_nanopore_Year4_data_table__final.csv
SRR34949469																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG01192/raw_data/hic/HG01192-2_FC3_S82_L004_R2_001.fastq.gz																																																																											HG01192	HIC_Y3_Y4_part2_data_table__final.csv
SRR26545331																						HG02922.m64457e_220906_104717.dc.q20.fastq.gz																																																																											HG02922	HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20_data_table__final.csv
SRR29396899																						m84081_231209_031410_s3.hifi_reads.bc2002.bam																																																																											HG01798	WUSTL_HPRC_HiFi_Year4_data_table__final.csv
SRR29497383																						01_16_24_R1041_HPRC_NA19012_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam																																																																											NA19012	UCSC_HPRC_nanopore_Year4_data_table__final.csv
SRR26313855																						08_17_21_R941_HG02451_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																												UCSC_HPRC_nanopore_Year2_data_table__final.csv
SRR34899832																						NA19099-2_FC2_S2_L001_R1_001.fastq.gz																																																																											NA19099	HPRC-OmniC-100124Pools_data_table__final.csv
SRR34949453																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG01433/raw_data/hic/HG01433-2_FC2_S50_L003_R2_001.fastq.gz																																																																											HG01433	HIC_Y3_Y4_part2_data_table__final.csv
SRR29497492																						09_12_23_R1041_HPRC_HG03778_3_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam																																																																											HG03778	UCSC_HPRC_nanopore_Year4_data_table__final.csv
SRR29497516																						09_06_23_R1041_HPRC_HG00117_2_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam																																																																											HG00117	UCSC_HPRC_nanopore_Year4_data_table__final.csv
																						NA19131-2_FC2_S21_L001_R2_001.fastq.gz																																																																												HIC_Y3_Y4_part2_data_table__final.csv
SRR29405845																						m84091_240315_183649_s4.hifi_reads.bc1011.bam																																																																											HG00701	RU_Y4_data_table__final.csv
SRR34949559																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG00350/raw_data/hic/HG00350-2_FC3_S32_L002_R1_001.fastq.gz																																																																											HG00350	HIC_Y3_Y4_part2_data_table__final.csv
SRR34949689																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG00235/raw_data/hic/HG00235-1_FC3_S35_L002_R1_001.fastq.gz																																																																											HG00235	HIC_Y3_Y4_part2_data_table__final.csv
SRR34949423																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG00253/raw_data/hic/HG00253-2_FC2_S34_L002_R1_001.fastq.gz																																																																											HG00253	HIC_Y3_Y4_part2_data_table__final.csv
SRR23732284																						m64043_220708_205637-bc1015.5mc.hifi_reads.bam																																																																											NA18612	WUSTL_HPRC_HiFi_Year3_data_table__final.csv
																						HG03271-1_FC2_S33_L003_R2_001.fastq.gz																																																																												HPRC-OmniC-100124Pools_data_table__final.csv
SRR34949457																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG01433/raw_data/hic/HG01433-1_FC2_S49_L003_R2_001.fastq.gz																																																																											HG01433	HIC_Y3_Y4_part2_data_table__final.csv
SRR33469102																						12_09_24_R1041_UL_HPRC_HG02738_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam																																																																											HG02738	UCSC_HPRC_nanopore_Year2_R10_data_table__final.csv
SRR34949383																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/NA21102/raw_data/hic/NA21102-1_FC1_S11_L001_R2_001.fastq.gz																																																																											NA21102	HIC_Y3_Y4_part2_data_table__final.csv
SRR34949604																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG02083/raw_data/hic/HG02083-2_FC4_S77_L004_R1_001.fastq.gz																																																																											HG02083	HIC_Y3_Y4_part2_data_table__final.csv
SRR34949672																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG03710/raw_data/hic/HG03710-2_FC2_S69_L004_R2_001.fastq.gz																																																																											HG03710	HIC_Y3_Y4_part2_data_table__final.csv
SRR34949639																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/NA21144/raw_data/hic/NA21144-1_FC1_S45_L002_R2_001.fastq.gz																																																																											NA21144	HIC_Y3_Y4_part2_data_table__final.csv
SRR34949390																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/NA20850/raw_data/hic/NA20850-1_FC3_S8_L001_R1_001.fastq.gz																																																																											NA20850	HIC_Y3_Y4_part2_data_table__final.csv
																						HG00662-1_FC2_S21_L002_R2_001.fastq.gz																																																																												HPRC-OmniC-100124Pools_data_table__final.csv
SRR31367048																						HG01071_PAM55655_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																											HG01071	UCSC_HPRC_ONT_Y1_WTOPUP_GUPPY6_data_table__final.csv
SRR29483229																						m84046_230831_231439_s1.hifi_reads.bc2034.bam																																																																											HG01048	UW_HPRC_HiFi_Y4_AND_Y3_Topoff_data_table__final.csv
SRR34949412																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG00253/raw_data/hic/HG00253-2_FC3_S34_L002_R2_001.fastq.gz																																																																											HG00253	HIC_Y3_Y4_part2_data_table__final.csv
SRR29497320																						10_24_23_R1041_HPRC_HG01248_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam																																																																											HG01248	UCSC_HPRC_nanopore_Year4_data_table__final.csv
SRR34949388																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/NA20850/raw_data/hic/NA20850-2_FC1_S16_L001_R2_001.fastq.gz																																																																											NA20850	HIC_Y3_Y4_part2_data_table__final.csv
SRR29483212																						m84046_230724_200213_s3.hifi_reads.bc2094.bam																																																																											HG01028	UW_HPRC_HiFi_Y4_AND_Y3_Topoff_data_table__final.csv
SRR34949487																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/NA20806/raw_data/hic/NA20806-2_FC1_S44_L002_R1_001.fastq.gz																																																																											NA20806	HIC_Y3_Y4_part2_data_table__final.csv
SRR26313820																						12_08_21_R941_HG02083_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																												UCSC_HPRC_nanopore_Year2_data_table__final.csv
SRR29497480																						10_10_23_R1041_HPRC_HG01894_3_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam																																																																											HG01894	UCSC_HPRC_nanopore_Year4_data_table__final.csv
SRR29497347																						11_7_23_R1041_HPRC_NA20287_2_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam																																																																											NA20287	UCSC_HPRC_nanopore_Year4_data_table__final.csv
