accession	study	bioproject_accession	biosample_accession	filename	library_ID	library_strategy	library_source	platform	instrument_model	design_description	generator_facility	generator_contact	assembly	data_type	filetype	library_layout	library_selection	shear_method	title	total_bp	coverage	ntsm_score	ntsm_result	total_Gbp	sample_ID
SRR30242225	SRP305758	PRJNA701308	SAMN37797109	HG03458-1_S17_L004_R1_001.fastq.gz	HG03458-1_S17_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03458	7354789323	2.37	0.665429	Similar	7.354789323	HG03458
SRR30242223	SRP305758	PRJNA701308	SAMN37797110	HG03470-1_S18_L001_R1_001.fastq.gz	HG03470-1_S18_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03470	11849763503	3.82	0.594815	Similar	11.849763503	HG03470
SRR30242222	SRP305758	PRJNA701308	SAMN37797110	HG03470-1_S18_L002_R1_001.fastq.gz	HG03470-1_S18_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03470	12135092146	3.91	0.600467	Similar	12.135092146	HG03470
SRR30242319	SRP305758	PRJNA701308	SAMN37797110	HG03470-1_S18_L003_R1_001.fastq.gz	HG03470-1_S18_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03470	11634327328	3.75	0.594667	Similar	11.634327328	HG03470
SRR30242318	SRP305758	PRJNA701308	SAMN37797110	HG03470-1_S18_L004_R1_001.fastq.gz	HG03470-1_S18_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03470	11860368970	3.83	0.6004	Similar	11.86036897	HG03470
SRR30242317	SRP305758	PRJNA701308	SAMN37797110	HG03470-2_S26_L001_R1_001.fastq.gz	HG03470-2_S26_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03470	9587897548	3.09	0.620073	Similar	9.587897548	HG03470
SRR30242218	SRP305758	PRJNA701308	SAMN37797110	HG03470-2_S26_L002_R1_001.fastq.gz	HG03470-2_S26_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03470	9825240348	3.17	0.572677	Similar	9.825240348	HG03470
SRR30242217	SRP305758	PRJNA701308	SAMN37797110	HG03470-2_S26_L003_R1_001.fastq.gz	HG03470-2_S26_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03470	9358371465	3.02	0.598062	Similar	9.358371465	HG03470
SRR30242216	SRP305758	PRJNA701308	SAMN37797110	HG03470-2_S26_L004_R1_001.fastq.gz	HG03470-2_S26_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03470	9560358443	3.08	0.603151	Similar	9.560358443	HG03470
SRR30242335	SRP305758	PRJNA701308	SAMN37797111	HG03742-1_S24_L001_R1_001.fastq.gz	HG03742-1_S24_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03742	6754019188	2.18	0.650114	Similar	6.754019188	HG03742
SRR30242334	SRP305758	PRJNA701308	SAMN37797111	HG03742-1_S24_L002_R1_001.fastq.gz	HG03742-1_S24_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03742	7071031529	2.28	0.612799	Similar	7.071031529	HG03742
SRR30242332	SRP305758	PRJNA701308	SAMN37797111	HG03742-1_S24_L003_R1_001.fastq.gz	HG03742-1_S24_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03742	7069840467	2.28	0.633073	Similar	7.069840467	HG03742
SRR30242331	SRP305758	PRJNA701308	SAMN37797111	HG03742-1_S24_L004_R1_001.fastq.gz	HG03742-1_S24_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03742	7012952628	2.26	0.632801	Similar	7.012952628	HG03742
SRR30242330	SRP305758	PRJNA701308	SAMN37797111	HG03742-2_S32_L001_R1_001.fastq.gz	HG03742-2_S32_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03742	18877366518	6.09	0.500177	Similar	18.877366518	HG03742
SRR30242329	SRP305758	PRJNA701308	SAMN37797111	HG03742-2_S32_L002_R1_001.fastq.gz	HG03742-2_S32_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03742	20557546849	6.63	0.551993	Similar	20.557546849	HG03742
SRR30242328	SRP305758	PRJNA701308	SAMN37797111	HG03742-2_S32_L003_R1_001.fastq.gz	HG03742-2_S32_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03742	20566876467	6.63	0.525506	Similar	20.566876467	HG03742
SRR30242327	SRP305758	PRJNA701308	SAMN37797111	HG03742-2_S32_L004_R1_001.fastq.gz	HG03742-2_S32_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03742	20431898061	6.59	0.508401	Similar	20.431898061	HG03742
SRR30242326	SRP305758	PRJNA701308	SAMN37797112	HG03792-1_S19_L001_R1_001.fastq.gz	HG03792-1_S19_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03792	8894617797	2.87	0.652957	Similar	8.894617797	HG03792
SRR30242325	SRP305758	PRJNA701308	SAMN37797112	HG03792-1_S19_L002_R1_001.fastq.gz	HG03792-1_S19_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03792	9758746396	3.15	0.647623	Similar	9.758746396	HG03792
SRR30242324	SRP305758	PRJNA701308	SAMN37797112	HG03792-1_S19_L003_R1_001.fastq.gz	HG03792-1_S19_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03792	9768810382	3.15	0.636941	Similar	9.768810382	HG03792
SRR30242323	SRP305758	PRJNA701308	SAMN37797112	HG03792-1_S19_L004_R1_001.fastq.gz	HG03792-1_S19_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03792	9615301263	3.1	0.592393	Similar	9.615301263	HG03792
SRR30242320	SRP305758	PRJNA701308	SAMN37797112	HG03792-2_S27_L001_R1_001.fastq.gz	HG03792-2_S27_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03792	9122844278	2.94	0.639005	Similar	9.122844278	HG03792
SRR30242316	SRP305758	PRJNA701308	SAMN37797112	HG03792-2_S27_L002_R1_001.fastq.gz	HG03792-2_S27_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03792	10004351060	3.23	0.613655	Similar	10.00435106	HG03792
SRR30242172	SRP305758	PRJNA701308	SAMN37797112	HG03792-2_S27_L003_R1_001.fastq.gz	HG03792-2_S27_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03792	10008059210	3.23	0.6202	Similar	10.00805921	HG03792
SRR30242171	SRP305758	PRJNA701308	SAMN37797112	HG03792-2_S27_L004_R1_001.fastq.gz	HG03792-2_S27_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG03792	9834207094	3.17	0.607695	Similar	9.834207094	HG03792
SRR30242315	SRP305758	PRJNA701308	SAMN33758796	NA18522-1_S8_L001_R1_001.fastq.gz	NA18522-1_S8_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of NA18522	12670729097	4.09	0.572991	Similar	12.670729097	NA18522
SRR30242167	SRP305758	PRJNA701308	SAMN33758796	NA18522-1_S8_L002_R1_001.fastq.gz	NA18522-1_S8_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of NA18522	13095838677	4.22	0.558825	Similar	13.095838677	NA18522
SRR30242166	SRP305758	PRJNA701308	SAMN33758796	NA18522-1_S8_L003_R1_001.fastq.gz	NA18522-1_S8_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of NA18522	12187989591	3.93	0.611446	Similar	12.187989591	NA18522
SRR30242165	SRP305758	PRJNA701308	SAMN33758796	NA18522-1_S8_L004_R1_001.fastq.gz	NA18522-1_S8_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of NA18522	12630827955	4.07	0.608723	Similar	12.630827955	NA18522
SRR30242164	SRP305758	PRJNA701308	SAMN33758796	NA18522-2_S16_L001_R1_001.fastq.gz	NA18522-2_S16_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of NA18522	16313555116	5.26	0.571952	Similar	16.313555116	NA18522
SRR30242163	SRP305758	PRJNA701308	SAMN33758796	NA18522-2_S16_L002_R1_001.fastq.gz	NA18522-2_S16_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of NA18522	16717750885	5.39	0.578408	Similar	16.717750885	NA18522
SRR30242313	SRP305758	PRJNA701308	SAMN33758796	NA18522-2_S16_L003_R1_001.fastq.gz	NA18522-2_S16_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of NA18522	15608912229	5.04	0.569439	Similar	15.608912229	NA18522
SRR30242312	SRP305758	PRJNA701308	SAMN33758796	NA18522-2_S16_L004_R1_001.fastq.gz	NA18522-2_S16_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of NA18522	16150293852	5.21	0.580577	Similar	16.150293852	NA18522
SRR30242159	SRP305758	PRJNA701308	SAMN37797086	NA18570-1_S6_L001_R1_001.fastq.gz	NA18570-1_S6_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of NA18570	11128098122	3.59	0.601569	Similar	11.128098122	NA18570
SRR30242158	SRP305758	PRJNA701308	SAMN37797086	NA18570-1_S6_L002_R1_001.fastq.gz	NA18570-1_S6_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of NA18570	12088124186	3.9	0.597847	Similar	12.088124186	NA18570
SRR30242157	SRP305758	PRJNA701308	SAMN37797086	NA18570-1_S6_L003_R1_001.fastq.gz	NA18570-1_S6_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of NA18570	12106703496	3.91	0.612623	Similar	12.106703496	NA18570
SRR30242156	SRP305758	PRJNA701308	SAMN37797086	NA18570-1_S6_L004_R1_001.fastq.gz	NA18570-1_S6_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of NA18570	11931905360	3.85	0.607579	Similar	11.93190536	NA18570
SRR30242155	SRP305758	PRJNA701308	SAMN37797086	NA18570-2_S14_L001_R1_001.fastq.gz	NA18570-2_S14_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of NA18570	10078151831	3.25	0.611813	Similar	10.078151831	NA18570
SRR30242154	SRP305758	PRJNA701308	SAMN37797086	NA18570-2_S14_L002_R1_001.fastq.gz	NA18570-2_S14_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of NA18570	10833167300	3.49	0.627078	Similar	10.8331673	NA18570
SRR30242153	SRP305758	PRJNA701308	SAMN37797086	NA18570-2_S14_L003_R1_001.fastq.gz	NA18570-2_S14_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of NA18570	10827380755	3.49	0.638538	Similar	10.827380755	NA18570
SRR30242528	SRP305758	PRJNA701308	SAMN37797086	NA18570-2_S14_L004_R1_001.fastq.gz	NA18570-2_S14_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of NA18570	10674939126	3.44	0.601804	Similar	10.674939126	NA18570
SRR30242174	SRP305758	PRJNA701308	SAMN33621960	NA18612-1_S2_L001_R1_001.fastq.gz	NA18612-1_S2_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of NA18612	14504938924	4.68	0.593934	Similar	14.504938924	NA18612
SRR30242173	SRP305758	PRJNA701308	SAMN33621960	NA18612-1_S2_L002_R1_001.fastq.gz	NA18612-1_S2_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of NA18612	14839350107	4.79	0.571957	Similar	14.839350107	NA18612
SRR30242215	SRP305758	PRJNA701308	SAMN33621960	NA18612-1_S2_L003_R1_001.fastq.gz	NA18612-1_S2_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of NA18612	14225785815	4.59	0.56045	Similar	14.225785815	NA18612
SRR30242214	SRP305758	PRJNA701308	SAMN33621960	NA18612-1_S2_L004_R1_001.fastq.gz	NA18612-1_S2_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of NA18612	14451088590	4.66	0.586383	Similar	14.45108859	NA18612
SRR30242213	SRP305758	PRJNA701308	SAMN33621960	NA18612-2_S10_L001_R1_001.fastq.gz	NA18612-2_S10_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of NA18612	10496884578	3.39	0.629584	Similar	10.496884578	NA18612
SRR30242170	SRP305758	PRJNA701308	SAMN33621960	NA18612-2_S10_L002_R1_001.fastq.gz	NA18612-2_S10_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of NA18612	10759683519	3.47	0.638907	Similar	10.759683519	NA18612
SRR30242162	SRP305758	PRJNA701308	SAMN33621960	NA18612-2_S10_L003_R1_001.fastq.gz	NA18612-2_S10_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of NA18612	10349756404	3.34	0.661084	Similar	10.349756404	NA18612
SRR30242161	SRP305758	PRJNA701308	SAMN33621960	NA18612-2_S10_L004_R1_001.fastq.gz	NA18612-2_S10_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of NA18612	10576293045	3.41	0.642143	Similar	10.576293045	NA18612
SRR30242160	SRP305758	PRJNA701308	SAMN33758797	NA18747-1_S3_L001_R1_001.fastq.gz	NA18747-1_S3_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of NA18747	12551596173	4.05	0.567091	Similar	12.551596173	NA18747
SRR30242527	SRP305758	PRJNA701308	SAMN33758797	NA18747-1_S3_L002_R1_001.fastq.gz	NA18747-1_S3_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of NA18747	13770283286	4.44	0.594242	Similar	13.770283286	NA18747
SRR30242525	SRP305758	PRJNA701308	SAMN33758797	NA18747-1_S3_L003_R1_001.fastq.gz	NA18747-1_S3_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of NA18747	13779161976	4.44	0.586409	Similar	13.779161976	NA18747
SRR30242524	SRP305758	PRJNA701308	SAMN33758797	NA18747-1_S3_L004_R1_001.fastq.gz	NA18747-1_S3_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of NA18747	13579732696	4.38	0.602279	Similar	13.579732696	NA18747
SRR30242523	SRP305758	PRJNA701308	SAMN33758797	NA18747-2_S11_L001_R1_001.fastq.gz	NA18747-2_S11_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of NA18747	13292917501	4.29	0.627018	Similar	13.292917501	NA18747
SRR30242169	SRP305758	PRJNA701308	SAMN33758797	NA18747-2_S11_L002_R1_001.fastq.gz	NA18747-2_S11_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of NA18747	14462000368	4.67	0.568298	Similar	14.462000368	NA18747
SRR30242168	SRP305758	PRJNA701308	SAMN33758797	NA18747-2_S11_L003_R1_001.fastq.gz	NA18747-2_S11_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of NA18747	14439258485	4.66	0.586129	Similar	14.439258485	NA18747
SRR30242522	SRP305758	PRJNA701308	SAMN33758797	NA18747-2_S11_L004_R1_001.fastq.gz	NA18747-2_S11_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of NA18747	14233988117	4.59	0.555905	Similar	14.233988117	NA18747
SRR30242521	SRP305758	PRJNA701308	SAMN33621961	NA18971-1_S3_L001_R1_001.fastq.gz	NA18971-1_S3_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of NA18971	11546555904	3.72	0.587984	Similar	11.546555904	NA18971
SRR30242520	SRP305758	PRJNA701308	SAMN33621961	NA18971-1_S3_L002_R1_001.fastq.gz	NA18971-1_S3_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of NA18971	11847239507	3.82	0.585985	Similar	11.847239507	NA18971
SRR30242519	SRP305758	PRJNA701308	SAMN33621961	NA18971-1_S3_L003_R1_001.fastq.gz	NA18971-1_S3_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of NA18971	11276006296	3.64	0.592584	Similar	11.276006296	NA18971
SRR30242518	SRP305758	PRJNA701308	SAMN33621961	NA18971-1_S3_L004_R1_001.fastq.gz	NA18971-1_S3_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of NA18971	11580409557	3.74	0.571223	Similar	11.580409557	NA18971
